created,updated,feature_sub_category,feature_name,feature_category,aliases,feature_description,value_type,unit,showcase_image,images,videos,feature_id,standard_feature,engine_dependent,drivetrain_dependent,seating_dependent,transmission_dependent
,,,Interior Roof Lining,Interior,roof liner material; headliner type; roof fabric,The material and finish of the roof interior lining.,Category,,,,,,,,,,
,,,Interior Storage Feature,Interior,interior storage; cabin storage options; storage features; small-item storage,The availability and type of interior storage compartments.,Boolean,,,,,,,,,,
,,,Interior Storage Location,Interior,cabin storage spots; storage areas; storage locations; in-cabin storage,Locations of various interior storage compartments throughout the cabin.,Category,,,,,,,,,,
,,,Interior Trim Finish,Interior,interior finish; dashboard/door finish; soft-touch/painted trim; interior material finish,The overall interior trim material and finish quality.,Category,,,,,,,,,,
,,,Interior Utility Storage,Interior,utility storage; small-item cubbies; odds-and-ends storage; extra storage spots,Small cubbies and spaces for storing odds and ends.,Boolean,,,,,,,,,,
,,,Key Reminder Feature,Alerts and Notifications,key-in reminder; key-left-in-car alert; key removal warning,A warning alert if the key is left in the vehicle.,Boolean,,,,,,,,,,
,,,Keyless Entry System,Safety and Security,keyless entry; smart key entry; remote keyless; request sensor entry,Allows entry without physically using the key.,Boolean,,,,,,,,,,
,,,Keyless Start System,Safety and Security,push-button start; start/stop button; keyless ignition,Push-button or touch-based engine start without a key.,Boolean,,,,,,,,,,
,,,Lane Safety Assistance Feature,Advanced Telematics Solution Safety & Security,lane keep assist; lane centering; lane support,Features like lane-keep assist or lane centering.,Boolean,,,,,,,,,,
,,,Lane Warning Feature,Alerts and Notifications,lane departure warning; lane departure alert; lane drift alert,An alert when the vehicle drifts out of its lane.,Category,,,,,,,,,,
,,,Luggage Area Utility Feature,Interior,boot utility features; hooks/nets; luggage organizer elements,"Utility features like hooks, nets, or organizers in cargo area.",Category,,,,,,,,,,
,,,Luggage Compartment Lighting,Interior,boot light; luggage lamp; cargo area lighting,Lighting in the cargo area for visibility.,Boolean,,,,,,,,,,
,,,Luggage Floor Feature,Interior,flat floor; adjustable floor; dual-height boot floor,"The type of luggage floor: flat, adjustable, or dual-height.",Category,,,,,,,,,,
,,,Luggage Space Flexibility,Interior,boot flexibility; folding seats for boot; luggage versatility; configurable cargo space,The flexibility to configure cargo space with folding seats.,Category,,,,,,,,,,
,,,Luggage Utility Feature,Interior,boot hooks/net; luggage strap points; multi-level shelf,"Utility features in the cargo area: hooks, nets, shelves.",Boolean,,,,,,,,,,
,,,Multi Information Display Type,Infotainment System,MID type; trip computer display; TFT/LCD MID,"The type of multi-info display: TFT, LCD, or other.",Category,,,,,,,,,,
,,,Navigation Guidance Feature,Infotainment System,built-in navigation; turn-by-turn guidance; onboard GPS; map navigation,Built-in GPS navigation with turn-by-turn guidance.,Category,,,,,,,,,,
,,,ORVM Exterior Component,Exterior,mirror shell; indicator in ORVM; camera in mirror,Exterior components integrated into the ORVM.,Category,,,,,,,,,,
,,,ORVM Integrated Feature,Exterior,mirror-integrated indicators; integrated camera; ORVM-mounted features; mirror-integrated turn signals,"Features integrated into the outside rearview mirror (indicators, cameras).",Category,,,,,,,,,,
,,,Outside Rear View Mirror Adjustment Type,Comfort and Convenience,power/manual ORVM adjust; joystick/switch-adjust mirrors,"The method to adjust ORVM: manual, power, or joystick.",Category,,,,,,,,,,
,,,Outside Rear View Mirror Features,Exterior,ORVM features; mirror functions; power-fold/power-adjust; heated/auto-fold mirrors,"Features like power-fold, auto-dim, heating, or integrated indicators.",Category,,,,,,,,,,
,,,Outside Rear View Mirror Finish,Exterior,ORVM finish; black/body-color mirror; dual-tone mirror,"The finish of the ORVM: body-colored, black, dual-tone.",Category,,,,,,,,,,
,,,Outside Rear View Mirror Type,Exterior,ORVM type; regular/frameless/wing mirror type,"The type of ORVM: regular, frameless, or wing-mounted.",Category,,,,,,,,,,
,,,Over-The-Air Update Capability,Advanced Telematics Solution Safety & Security,OTA updates; software update over air; remote firmware update,Ability to receive software updates remotely without visiting dealer.,Boolean,,,,,,,,,,
,,,Overhead Console Features,Interior,overhead console; sunglass holder; roof console controls; overhead switches,Storage and control features in the overhead console.,Category,,,,,,,,,,
,,,Parking Assistance Feature,Safety and Security,parking sensors; reverse camera; auto-park assist; parking aid features,"Features like parking sensors, reverse camera, or auto-park assist.",Category,,,,,,,,,,
,,,Parking Assistance Integration,Advanced Telematics Solution Safety & Security,integration with display; 360 view integration; parking assist linked to steering/brakes,"Integration of parking assist with steering, brakes, and displays.",Boolean,,,,,,,,,,
,,,Parking Brake Lever Finish,Interior,handbrake finish; parking lever trim; brake handle style; e-brake lever finish,The finish and material of the parking brake lever.,Category,,,,,,,,,,
,,,Parking Brake Status Indicator,Alerts and Notifications,parking brake light; handbrake on indicator,An indicator showing the status of the parking brake.,Boolean,,,,,,,,,,
,,,Parking Brake Warning Feature,Alerts and Notifications,brake not released warning; brake-on warning,A warning if the parking brake is engaged during driving.,Boolean,,,,,,,,,,
,,,Pedestrian Safety Feature,Advanced Telematics Solution Safety & Security,pedestrian protection; active hood; pedestrian alerts,"Active safety features to protect pedestrians: hood pop-up, alerts.",Boolean,,,,,,,,,,
,,,Position Lamp Type,Exterior,parking lamp type; position light style,The type of position/parking lamps.,Category,,,,,,,,,,
,,,Power Window Coverage,Comfort and Convenience,power window availability; which windows are powered; all four power windows; front/rear power windows,Indicates which windows in the vehicle have power operation.,Category,,,,,,,,,,
,,,Power Window Safety Feature,Safety and Security,anti-pinch windows; safety power windows; pinch guard; child-safe window function,Anti-pinch or one-touch safety features in power windows.,Boolean,,,,,,,,,,
,,,Premium Audio System,Infotainment System,branded audio; premium sound system; Bose/JBL/etc.,"High-quality branded audio system (Bose, JBL, etc.).",Boolean,,,,,,,,,,
,,,Reading Lamp Location,Interior,map light location; reading light position; cabin lamp location; dome light position,"The placement of interior reading/map lights (roof, door, or other locations).",Category,,,,,,,,,,
,,,Rear Door Exterior Trim,Exterior,rear door cladding; rear door garnish; rear door outer trim; rear door molding,The outer trim and cladding design of the rear doors.,Category,,,,,,,,,,
,,,Rear Door Functional Features,Exterior,rear door features; rear door conveniences; child lock features; rear door utilities,Functional features on rear doors like child locks or hold-open devices.,Category,,,,,,,,,,
,,,Rear Lamp Design Type,Exterior,tail lamp design; rear light style; taillight type; LED/halogen tail lamp,"The design and technology of rear lamps (LED, halogen, signature design).",Category,,,,,,,,,,
,,,Rear Parcel Storage,Interior,parcel tray; rear shelf; parcel shelf storage,A shelf or tray behind rear seats for storage.,Boolean,,,,,,,,,,
,,,Rear Seat Fold Feature,Comfort and Convenience,folding rear seats; foldable back seat; flat-fold seats; split-fold rear seats,Specifies if rear seats can be folded down for increased cargo space.,Boolean,,,,,,,,,,
,,,Rear Seat Recline Feature,Comfort and Convenience,rear recline; adjustable rear backrest; reclining back seat; tilting rear seats,Indicates if rear seat backrests can be adjusted for reclining.,Boolean,,,,,,,,,,
,,,Rear Seat Split Type,Comfort and Convenience,rear split; back seat split; rear bench split; fold split pattern,The split configuration of rear seats for flexibility.,Category,,,,,,,,,,
,,,Rear Spoiler Type,Exterior,tailgate spoiler; hatch spoiler; rear roof spoiler; spoiler style,The type of rear spoiler design and mounting.,Category,,,,,,,,,,
,,,Roof Design Feature,Exterior,contrast roof; panoramic look lines; coupe-style roof; roof styling,Design elements and features of the roof.,Category,,,,,,,,,,
,,,Roof Type,Exterior,solid roof; panoramic roof; sunroof/no-sunroof; hardtop type,"The type of roof: fixed, panoramic sunroof, tilt-slide, etc.",Category,,,,,,,,,,
,,,Safety Compliance Type,Safety and Security,safety standard; homologation standard; regulatory compliance,The safety standards and regulations the vehicle complies with.,Category,,,,,,,,,,
,,,Safety Unlock Feature,Safety and Security,crash unlock; impact unlock; auto-door unlock in crash,Automatic door unlocking in case of a crash.,Boolean,,,,,,,,,,
,,,Seat Back Storage Feature,Interior,seatback pockets; rear map pockets; magazine holders,Storage pockets on the back of front seats.,Boolean,,,,,,,,,,
,,,Seat Belt Adjustment Feature,Comfort and Convenience,height-adjust seatbelt; belt height adjuster; adjustable upper anchor,Height adjustment capability for seat belts.,Boolean,,,,,,,,,,
,,,Seat Belt Coverage,Safety and Security,belt coverage area; seatbelt availability; row-wise belt coverage; occupant belt coverage,Indicates which seats are equipped with seat belts throughout the vehicle.,Category,,,,,,,,,,
,,,Seat Belt Safety Feature,Safety and Security,seatbelt pretensioner; load limiter; advanced belt features; seatbelt safety tech,Advanced safety features in seat belts like pretensioners or load limiters.,Category,,,,,,,,,,
,,,Seat Belt Safety Mechanism,Safety and Security,pretensioners; load limiters; force limiter; advanced belt mechanism,Advanced mechanisms like pretensioners and load limiters.,Category,,,,,,,,,,
,,,Seat Belt Type,Safety and Security,seatbelt style; belt type; 3-point/2-point belt; seat belt design,"The type of seat belt system (3-point, 2-point, or advanced safety belts).",Category,,,,,,,,,,
,,,Seat Headrest Adjustability,Comfort and Convenience,adjustable headrest; headrest adjustment; headrest up/down; headrest tilt,"The ability to adjust headrest height, tilt, or side support.",Category,,,,,,,,,,
,,,Seat Headrest Location,Interior,headrest positions; which seats have headrests; headrest placement; row-wise headrests,Which seat rows have adjustable headrests.,Category,,,,,,,,,,
,,,Seat Upholstery Color Theme,Interior,seat color theme; seat color combo; two-tone seats,The color scheme and combination of seat upholstery.,Category,,,,,,,,,,
,,,Seat Upholstery Material,Interior,seat fabric/leather; upholstery type; leatherette/cloth,"The material of seat coverings: leather, fabric, leatherette.",Category,,,,,,,,,,
,,,Seating Capacity Configuration,Comfort and Convenience,seat layout; seating capacity; 5/6/7 seater; seat row configuration,"The total number of seats available in the vehicle (5, 6, 7 seater, etc.).",Number,,,,,,,,,,
,,,Second Row Air Conditioning Feature,Comfort and Convenience,rear AC; 2nd row AC vents; rear blower; rear cooling vents,Indicates if dedicated AC vents are available for the second row.,Boolean,,,,,,,,,,
,,,Second Row Comfort Features,Comfort and Convenience,2nd row comfort; rear comfort features; rear passenger features; middle row amenities,Additional comfort amenities provided for second-row passengers.,Category,,,,,,,,,,
,,,Second Row Seat Recline Feature,Comfort and Convenience,2nd row recline; rear seat recline; adjustable rear backrest; reclining rear seats,Indicates if the second-row seat backrest can be reclined.,Boolean,,,,,,,,,,
,,,Second Row Seat Slide Feature,Comfort and Convenience,2nd row slide; sliding rear seat; fore-aft adjustment (2nd row); movable rear bench,Specifies if the second-row seats can slide forward or backward.,Boolean,,,,,,,,,,
,,,Second Row Seat Split Type,Comfort and Convenience,2nd row split; rear seat split; split-fold type; 60:40 / 40:20:40 split,"The split ratio of the second-row seats (e.g., 60:40, 40:20:40).",Category,,,,,,,,,,
,,,Second Row Seating Configuration,Comfort and Convenience,2nd row layout; rear seating layout; bench/captain seats; middle row configuration,"The type of second-row seating arrangement (bench, captain seats, etc.).",Category,,,,,,,,,,
,,,Second Row Storage Feature,Comfort and Convenience,rear storage; 2nd row storage; seatback pockets (2nd row); rear cup/bottle holders,Storage compartments and cup holders available in the second row.,Boolean,,,,,,,,,,
,,,Second Row Sun Protection Feature,Comfort and Convenience,rear sunshades; window sun blinds; rear sun protection; 2nd row sunblind,"The type of sun protection available for rear passengers (sunshades, blinds, etc.).",Category,,,,,,,,,,
,,,Smartphone Connectivity Feature,Infotainment System,phone pairing; app connectivity; mobile app integration,Integration of smartphone with vehicle via apps and pairing.,Category,,,,,,,,,,
,,,Speaker Count,Infotainment System,number of speakers; speaker setup; 4/6/8 speaker system,The total number of speakers in the audio system.,Number,,,,,,,,,,
,,,Steering Adjustment Type,Comfort and Convenience,tilt/telescopic steering; steering adjustment; steering reach/rake; steering column adjust,The type of steering adjustment: manual or power tilt/telescopic.,Category,,,,,,,,,,
,,,Steering Column Safety Feature,Safety and Security,collapsible steering column; steering safety; energy-absorbing column; crash-safe steering,Safety features like collapsible steering columns.,Boolean,,,,,,,,,,
,,,Steering Wheel Additional Finish,Interior,steering trim; piano black/silver inserts; decorative steering finish,Additional decorative finishes on the steering wheel.,Category,,,,,,,,,,
,,,Steering Wheel and Gear Knob Wrap,Interior,leather wrap; wrapped steering and shifter,Leather or premium wrapping on steering and gear shifter.,Category,,,,,,,,,,
,,,Steering Wheel Cover Material,Interior,steering material; leather-wrapped wheel; urethane/PU wheel,The material covering the steering wheel.,Category,,,,,,,,,,
,,,Steering Wheel Design,Interior,steering style; flat-bottom/round wheel; spoke design; steering appearance,The design and size of the steering wheel.,Category,,,,,,,,,,
,,,Stop Lamp Type,Exterior,brake light type; LED/halogen stop light,"The type of stop/brake lights: LED, halogen.",Category,,,,,,,,,,
,,,Sun Visor Coverage,Interior,visor coverage; sun visor size; visor reach; side visor coverage,The size and coverage area of the sun visor.,Category,,,,,,,,,,
,,,Sun Visor Feature,Interior,sun visor functions; ticket holder; extender; vanity mirror feature,Additional features on the sun visor like mirror or ticket holder.,Category,,,,,,,,,,
,,,Sunroof Ambient Lighting Feature,Comfort and Convenience,sunroof surround lighting; roof ambient lights,Ambient lighting around or integrated with the sunroof.,Boolean,,,,,,,,,,
,,,Sunroof Type,Exterior,single/panoramic sunroof; tilt-and-slide sunroof,"The type of sunroof: single, dual, or panoramic.",Category,,,,,,,,,,
,,,Surround View Camera Guidance,Safety and Security,parking guidelines; dynamic guidelines; steering-based guidance; parking assist lines,Dynamic guidance lines or parking assistance displayed through the camera system.,Boolean,,,,,,,,,,
,,,Surround View Camera Resolution,Safety and Security,360 camera clarity; camera resolution; parking camera quality; HD camera resolution,The resolution and clarity of the surround view camera system.,Number,,,,,,,,,,
,,,Surround View Camera Type,Safety and Security,360 camera type; birdâ€™s-eye camera; around-view monitor type; parking camera system type,The type of 360-degree or surround view camera system available.,Category,,,,,,,,,,
,,,Surround View Camera View Modes,Safety and Security,camera views; top/side/front view modes; 3D/2D view options; multi-angle camera views,"Available view angles: top-down, front, side, or 3D views.",Category,,,,,,,,,,
,,,Switch Illumination Feature,Interior,illuminated switches; backlit buttons; lit window/AC switches,Illumination of switches and buttons for visibility.,Boolean,,,,,,,,,,
,,,Tailgate Opening Mechanism,Comfort and Convenience,tailgate open type; hatch opening; manual/electric tailgate,"The method to open the tailgate: manual, powered, or sensor-based.",Category,,,,,,,,,,
,,,Third Row Air Conditioning Feature,Comfort and Convenience,3rd row AC; third row AC vents; rearmost cooling; roof AC vents (3rd row),Indicates if dedicated AC vents are available for the third row.,Boolean,,,,,,,,,,
,,,Third Row Seat Fold Feature,Comfort and Convenience,3rd row fold; fold-flat 3rd row; last row folding; tumble/fold 3rd row,Specifies if third-row seats can be folded to expand cargo space.,Boolean,,,,,,,,,,
,,,Third Row Seat Recline Feature,Comfort and Convenience,3rd row recline; third row backrest adjustment; reclining last row; adjustable 3rd row,Indicates if the third-row seat backrest can be reclined.,Boolean,,,,,,,,,,
,,,Third Row Seat Split Type,Comfort and Convenience,3rd row split; third row split-fold; rearmost seat split; 50:50 3rd row,The split ratio configuration of the third-row seats (if available).,Category,,,,,,,,,,
,,,Touchscreen Infotainment System Size,Infotainment System,touchscreen size; infotainment screen size; central display size; center screen size,The screen size of the central infotainment touchscreen measured in inches.,Number,,,,,,,,,,
,,,Tow Hook Location,Exterior,tow point; towing hook position; front/rear tow hook,The location of the vehicle's tow hook (front or rear).,Category,,,,,,,,,,
,,,Traction Control Feature,Safety and Security,traction control; TCS; anti-slip control; wheel spin control,A system that prevents wheel slip and maintains traction.,Boolean,,,,,,,,,,
,,,Transmission Control Feature,Safety and Security,shift-by-wire; rotary shifter; electronic gear selector,"The type of transmission control: manual shift, DCT, rotary selector.",Boolean,,,,,,,,,,
,,,Trip Information Display,Infotainment System,trip computer; trip info screen; distance/avg FE display; trip meter info,"Trip computer showing distance, fuel consumption, and time data.",Category,,,,,,,,,,
,,,Trip Meter Type,Infotainment System,trip meter style; A/B trip; digital/analog trip display,The type of trip meter: A/B digital or analog.,Category,,,,,,,,,,
,,,Trunk Opening Mechanism,Comfort and Convenience,boot opening type; manual/electric boot; powered tailgate,"The method to open the trunk: manual, electric, or sensor-based.",Category,,,,,,,,,,
,,,Turn Indicator Type,Exterior,indicator type; bulb/LED indicators,"The type of turn signal indicators: LED, bulb, or other.",Category,,,,,,,,,,
,,,Turn Signal Feature,Exterior,turn signal behavior; 3-blink lane change; hazard/indicator feature,"The behavior of turn signals: single blink, 3-blink lane change.",Boolean,,,,,,,,,,
,,,USB Charging Socket Illumination,Interior,lit USB ports; illuminated USB sockets,Illumination of USB charging ports.,Boolean,,,,,,,,,,
,,,USB Charging Socket Location,Interior,USB port location; front/rear USB; console/seat USB position,The placement of USB charging ports throughout the vehicle.,Category,,,,,,,,,,
,,,USB Charging Socket Type,Interior,USB type (A/C); fast charging USB; power output type; USB spec,"The type of USB standard: Type-A, Type-C, or proprietary.",Category,,,,,,,,,,
,,,Vanity Feature,Interior,vanity mirror; mirror on sun visor; illuminated vanity; visor mirror,A mirror (typically on the sun visor) for personal grooming.,Boolean,,,,,,,,,,
,,,Vanity Feature Location,Interior,vanity mirror location; which visor has mirror; driver/passenger visor mirror,The location of the vanity mirror in the vehicle.,Category,,,,,,,,,,
,,,Vehicle Alarm Control,Safety and Security,car alarm; theft alarm; security alarm; intrusion alarm control,The type of security alarm system and its features.,Boolean,,,,,,,,,,
,,,Vehicle Impact Test Type,Safety and Security,crash test type; impact test standard; frontal/side/offset test type,"Types of crash tests performed: frontal, side, rollover.",Category,,,,,,,,,,
,,,Vehicle Personalization Feature,Infotainment System,personalization options; profile settings; driver profiles; theme customization,Options to personalize vehicle settings and themes.,Category,,,,,,,,,,
,,,Vehicle Platform Architecture,Safety and Security,platform name; chassis architecture; vehicle base platform,The underlying platform or chassis architecture.,Category,,,,,,,,,,
,,,Vehicle Speed Alert System,Alerts and Notifications,speed warning; 80/120 km/h alert; overspeed alert,A warning system that alerts when exceeding speed thresholds.,Boolean,,,,,,,,,,
,,,Vehicle Status Information,Advanced Telematics Solution Safety & Security,vehicle status; car health info; live car data; status overview,Real-time display of vehicle health and status information.,Boolean,,,,,,,,,,
,,,Vehicle Wheelbase Type,Safety and Security,wheelbase classification; long/short wheelbase,The wheelbase classification of the vehicle.,Category,,,,,,,,,,
,,,Voice Assistant Barge-In Support,Infotainment System,barge-in; interrupt voice assistant; talk over response; barge-in detection,Allows the voice assistant to accept new commands while it is already speaking or responding.,Boolean,,,,,,,,,,
,,,Voice Assistant Platform,Infotainment System,voice platform; voice assistant type; Alexa/Google/Siri support; voice engine,"The voice assistant platform used (Google, Alexa, native AI, etc.).",Category,,,,,,,,,,
,,,Voice Assistant Skill Integration,Infotainment System,voice skills; voice apps; assistant integrations; connected services via voice,Integration capabilities with third-party voice services and apps.,Category,,,,,,,,,,
,,,Voice Assistant Wake Word,Infotainment System,wake word; voice trigger word; hotword; voice command phrase; voice activation phrase,The voice command or phrase used to activate the voice assistant system in the vehicle.,Text,,,,,,,,,,
,,,Wheel Cover Type,Exterior,wheel cover design; hubcap style; wheel cap type,The design and style of wheel covers or hubcaps.,Category,,,,,,,,,,
,,,Wheel Size,Exterior,rim size; tyre size (inches); alloy size; wheel diameter,"The diameter of the wheels in inches (e.g., 16-inch, 18-inch).",Number,,,,,,,,,,
,,,Wheel Size,Exterior,rim size; alloy size; tyre rim diameter; wheel inch size,The diameter of the wheels in inches or millimeters.,Number,,,,,,,,,,
,,,Wheel Type,Exterior,alloy/steel type; rim type; wheel design; alloy design,"The type of wheels: alloy, steel, or styled variants.",Category,,,,,,,,,,
,,,Wheel Type,Exterior,wheel construction; steel/alloy wheels; styled wheels; wheel design,"The construction and design type of wheels (alloy, steel, styled).",Category,,,,,,,,,,
,,,Window Glass Type,Exterior,glass type; tinted/green glass; UV-cut glass; acoustic glass,"The type of glass used: tinted, UV-cut, acoustic, etc.",Category,,,,,,,,,,
,,,Windshield Glass Type,Exterior,laminated glass; acoustic windshield; UV/IR-cut front glass,"The type of windshield glass: acoustic, laminated, UV-cut.",Category,,,,,,,,,,
,,,Wiper and Washer Configuration,Comfort and Convenience,wiper setup; front/rear wipers; intermittent/auto wiper settings,"The setup of wipers and washer systems (front/rear, auto).",Category,,,,,,,,,,
,,,Wiper Control Type,Comfort and Convenience,wiper control stalk; intermittent/variable controls; auto rain-sensing control,"The type of wiper control: intermittent, variable, auto rain-sensing.",Category,,,,,,,,,,
